neighbourhood_cleansed,latitude,longitude,estimated_occupancy_l365d,room_type,property_type,accommodates,bedrooms,bathrooms,number_of_reviews,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_value,review_scores_location,availability_365,host_is_superhost,amenities,id,amenities_list,amenity_count,has_full_kitchen,has_laundry,has_parking,has_self_checkin,has_workspace,has_air_conditioning,has_outdoor_space,has_family_friendly,has_premium_leisure,has_view_or_water_access,allows_pets,has_entertainment,property_type_grouped
ELEVENTH WARD,42.66375890730826,-73.77674406705056,255,Private room,Private room in rental unit,2,1.0,1.0,62,4.42,52,4.9,4.9,4.75,309,t,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Portable fans"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Air conditioning"", ""Essentials"", ""Lock on bedroom door"", ""Coffee"", ""Laundromat nearby"", ""Books and reading material"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad"", ""Board games"", ""Cleaning available during stay"", ""Stove""]",1310170283925918533,"['Smoke alarm', 'Kitchen', 'Wifi', 'Shower gel', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Heating', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Portable fans', 'Drying rack for clothing', 'Exterior security cameras on property', 'Air conditioning', 'Essentials', 'Lock on bedroom door', 'Coffee', 'Laundromat nearby', 'Books and reading material', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'Keypad', 'Board games', 'Cleaning available during stay', 'Stove']",46,1,1,1,1,1,1,0,0,0,0,0,1,Private room
SIXTH WARD,42.65331,-73.76971,0,Entire home/apt,Entire rental unit,2,1.0,1.0,0,,0,,,,197,f,"[""Smoke alarm"", ""Kitchen"", ""Exterior security cameras on property"", ""Iron"", ""Lockbox"", ""Fire extinguisher"", ""Wifi"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Hair dryer"", ""First aid kit"", ""TV"", ""Washer"", ""Self check-in""]",1319619558594743733,"['Smoke alarm', 'Kitchen', 'Exterior security cameras on property', 'Iron', 'Lockbox', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Carbon monoxide alarm', 'Paid parking on premises', 'Hair dryer', 'First aid kit', 'TV', 'Washer', 'Self check-in']",15,1,1,1,1,1,0,0,0,0,0,0,1,Entire place
FIFTEENTH WARD,42.67077854215789,-73.82525054567722,30,Entire home/apt,Entire rental unit,6,3.0,,5,0.49,5,5.0,5.0,5.0,140,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Frigidaire  refrigerator"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Private entrance"", ""Outdoor dining area"", ""TV"", ""Carbon monoxide alarm"", ""Bluetooth sound system"", ""Housekeeping available from 11:30\u202fAM to 3:00\u202fPM - available at extra cost"", ""Bathtub"", ""Ceiling fan"", ""Iron"", ""Central air conditioning"", ""Hot water kettle"", ""Wine glasses"", ""Microwave"", ""Dining table"", ""Rice maker"", ""Free driveway parking on premises \u2013 3 spaces"", ""Pets allowed"", ""Electric stove"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Coffee"", ""Laundromat nearby"", ""Central heating"", ""Dishes and silverware"", ""Hangers"", ""Blender"", ""Self check-in"", ""Freezer"", ""Fire extinguisher"", ""Coffee maker: pour-over coffee"", ""Keypad"", ""Frigidaire  oven"", ""Dove body soap""]",1319649416178819713,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Private patio or balcony', 'Frigidaire  refrigerator', 'Wifi', 'Shower gel', 'Hot water', 'Private entrance', 'Outdoor dining area', 'TV', 'Carbon monoxide alarm', 'Bluetooth sound system', 'Housekeeping available from 11:30\u202fAM to 3:00\u202fPM - available at extra cost', 'Bathtub', 'Ceiling fan', 'Iron', 'Central air conditioning', 'Hot water kettle', 'Wine glasses', 'Microwave', 'Dining table', 'Rice maker', 'Free driveway parking on premises – 3 spaces', 'Pets allowed', 'Electric stove', 'Long term stays allowed', 'Exterior security cameras on property', 'Toaster', 'Coffee', 'Laundromat nearby', 'Central heating', 'Dishes and silverware', 'Hangers', 'Blender', 'Self check-in', 'Freezer', 'Fire extinguisher', 'Coffee maker: pour-over coffee', 'Keypad', 'Frigidaire  oven', 'Dove body soap']",42,1,1,1,1,0,1,1,0,0,0,1,1,Entire place
SIXTH WARD,42.65015,-73.76337,246,Entire home/apt,Entire home,8,3.0,2.0,42,3.36,41,4.76,4.81,4.76,237,t,"[""Smoke alarm"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Kitchenette"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Dryer \u2013\u00a0In unit"", ""Heating"", ""Washer \u2013\u00a0In unit"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Coffee"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Paid parking lot off premises"", ""Keypad""]",1328247359330291677,"['Smoke alarm', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Hair dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Kitchenette', 'Shampoo', 'Iron', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Dryer –\xa0In unit', 'Heating', 'Washer –\xa0In unit', 'Extra pillows and blankets', 'Long term stays allowed', 'Air conditioning', 'Toaster', 'Essentials', 'Coffee', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Self check-in', 'Free street parking', 'Fire extinguisher', 'Coffee maker: drip coffee maker, Keurig coffee machine', 'Paid parking lot off premises', 'Keypad']",33,1,1,1,1,1,1,0,0,0,0,0,1,Entire place
SIXTH WARD,42.65262,-73.76134,30,Entire home/apt,Entire rental unit,2,1.0,1.0,5,0.42,5,4.6,4.6,5.0,338,f,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Carbon monoxide alarm"", ""TV"", ""Washer""]",1328401906195927790,"['Smoke alarm', 'Kitchen', 'Wifi', 'Carbon monoxide alarm', 'TV', 'Washer']",6,1,1,0,0,0,0,0,0,0,0,0,1,Entire place
SIXTH WARD,42.65344807383542,-73.76942854374647,0,Entire home/apt,Entire rental unit,2,1.0,1.0,0,,0,,,,365,f,"[""Smoke alarm"", ""Kitchen"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Wifi"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Keypad"", ""First aid kit"", ""TV"", ""Washer"", ""Self check-in""]",1329355205441244604,"['Smoke alarm', 'Kitchen', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Paid parking on premises', 'Carbon monoxide alarm', 'Keypad', 'First aid kit', 'TV', 'Washer', 'Self check-in']",12,1,1,1,1,0,0,0,0,0,0,0,1,Entire place
SECOND WARD,42.6440750005831,-73.75452790055822,240,Entire home/apt,Entire rental unit,10,3.0,,40,3.72,40,4.6,4.68,4.35,125,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Stainless steel single oven"", ""Private patio or balcony"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Indoor fireplace"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Dining table"", ""Smart lock"", ""Paid street parking off premises"", ""Extra pillows and blankets"", ""Pets allowed"", ""Long term stays allowed"", ""Radiant heating"", ""Noise decibel monitors on property"", ""Air conditioning"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Coffee"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Free washer \u2013 In building"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Tr\u00e9Semme conditioner"", ""Fire extinguisher"", ""Bidet"", ""Board games"", ""Stainless steel gas stove"", ""Shared backyard \u2013 Fully fenced""]",1334238579190312184,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Stainless steel single oven', 'Private patio or balcony', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'Body soap', 'Indoor fireplace', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Hot water kettle', 'Wine glasses', 'Free dryer – In building', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Dining table', 'Smart lock', 'Paid street parking off premises', 'Extra pillows and blankets', 'Pets allowed', 'Long term stays allowed', 'Radiant heating', 'Noise decibel monitors on property', 'Air conditioning', 'Exterior security cameras on property', 'Essentials', 'Toaster', 'Coffee', 'Laundromat nearby', 'Pack ’n play/Travel crib', 'First aid kit', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Free washer – In building', 'Self check-in', 'Freezer', 'Free street parking', 'TréSemme conditioner', 'Fire extinguisher', 'Bidet', 'Board games', 'Stainless steel gas stove', 'Shared backyard – Fully fenced']",59,1,1,1,1,1,1,1,1,0,0,1,1,Entire place
FOURTH WARD,42.67538365828664,-73.75011739653225,72,Entire home/apt,Entire rental unit,3,1.0,1.0,12,1.34,12,4.25,4.25,4.58,21,f,"[""Smoke alarm"", ""Kitchen"", ""Ethernet connection"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Mini fridge"", ""TV"", ""Gym"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Dining table"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Drying rack for clothing"", ""Coffee"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Free parking on premises"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Stove""]",1344295935213350424,"['Smoke alarm', 'Kitchen', 'Ethernet connection', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Dryer', 'Mini fridge', 'TV', 'Gym', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Dining table', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Drying rack for clothing', 'Coffee', 'Central heating', 'First aid kit', 'Conditioner', 'Free parking on premises', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'Stove']",44,1,1,1,0,1,1,0,0,1,0,0,1,Entire place
FOURTH WARD,42.67796681605566,-73.74887793631504,0,Entire home/apt,Entire rental unit,3,1.0,1.0,0,,0,,,,17,f,"[""Smoke alarm"", ""Kitchen"", ""Ethernet connection"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Mini fridge"", ""TV"", ""Gym"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Washer \u2013\u00a0In unit"", ""Long term stays allowed"", ""Oven"", ""Air conditioning"", ""Essentials"", ""Coffee"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Stove""]",1344899700380628431,"['Smoke alarm', 'Kitchen', 'Ethernet connection', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Dryer', 'Mini fridge', 'TV', 'Gym', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Washer –\xa0In unit', 'Long term stays allowed', 'Oven', 'Air conditioning', 'Essentials', 'Coffee', 'Central heating', 'First aid kit', 'Conditioner', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'Stove']",43,1,1,1,0,1,1,0,0,1,0,0,1,Entire place
SIXTH WARD,42.6556643,-73.7618859,60,Entire home/apt,Entire rental unit,2,1.0,1.0,10,1.29,10,4.7,4.6,4.6,365,t,"[""Free washer \u2013 In building"", ""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Coffee maker: drip coffee maker"", ""Iron"", ""Air conditioning"", ""Lockbox"", ""Free dryer \u2013 In building"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""TV"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Pets allowed"", ""Self check-in""]",1346801758960246004,"['Free washer – In building', 'Smoke alarm', 'Kitchen', 'Dishwasher', 'Coffee maker: drip coffee maker', 'Iron', 'Air conditioning', 'Lockbox', 'Free dryer – In building', 'Wifi', 'Microwave', 'Hair dryer', 'TV', 'Free parking on premises', 'Carbon monoxide alarm', 'Dishes and silverware', 'Pets allowed', 'Self check-in']",18,1,1,1,1,0,1,0,0,0,0,1,1,Entire place
TWELFTH WARD,42.68507834404223,-73.79764015056868,42,Entire home/apt,Entire home,6,2.0,2.0,3,0.25,3,5.0,5.0,4.67,253,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Fire pit"", ""Outdoor dining area"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Iron"", ""Hot water kettle"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Washer"", ""Pets allowed"", ""Electric stove"", ""Oven"", ""Radiant heating"", ""Portable fans"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Lockbox"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, and dresser""]",1350831900774924999,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Fire pit', 'Outdoor dining area', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Ceiling fan', 'Iron', 'Hot water kettle', 'Dedicated workspace', 'Microwave', 'Dining table', 'Washer', 'Pets allowed', 'Electric stove', 'Oven', 'Radiant heating', 'Portable fans', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Lockbox', 'Fire extinguisher', 'Free dryer – In unit', 'Cleaning products', 'Clothing storage: walk-in closet, closet, and dresser']",38,1,1,1,1,1,1,1,0,0,0,1,1,Entire place
FIFTEENTH WARD,42.67003713546928,-73.82302715231661,255,Entire home/apt,Entire home,6,3.0,1.5,68,5.59,68,4.9,4.87,4.91,338,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Stainless steel single oven"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Dining table"", ""Washer"", ""Long term stays allowed"", ""Pets allowed"", ""Exterior security cameras on property"", ""Air conditioning"", ""Coffee"", ""Clothing storage: closet"", ""Central heating"", ""First aid kit"", ""Stainless steel electric stove"", ""Baby bath"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Freezer"", ""Fire extinguisher"", ""Free dryer \u2013 In unit""]",1350872245042831459,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Stainless steel single oven', 'Wifi', 'Shower gel', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Wine glasses', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Dining table', 'Washer', 'Long term stays allowed', 'Pets allowed', 'Exterior security cameras on property', 'Air conditioning', 'Coffee', 'Clothing storage: closet', 'Central heating', 'First aid kit', 'Stainless steel electric stove', 'Baby bath', 'Conditioner', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Freezer', 'Fire extinguisher', 'Free dryer – In unit']",40,1,1,1,0,0,1,0,1,0,0,1,1,Entire place
THIRD WARD,42.66526304906058,-73.76716070107956,0,Entire home/apt,Entire rental unit,4,2.0,1.0,0,,0,,,,321,f,"[""Smoke alarm"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Outdoor dining area"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Dryer \u2013\u00a0In unit"", ""Washer \u2013\u00a0In unit"", ""Electric stove"", ""BBQ grill"", ""Radiant heating"", ""Air conditioning"", ""Laundromat nearby"", ""Outdoor furniture"", ""Single oven"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Whirlpool  refrigerator"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products""]",1358581858384454275,"['Smoke alarm', 'Kitchen', 'Clothing storage: closet and dresser', 'Wifi', 'Hot water', 'Private entrance', 'Outdoor dining area', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Iron', 'Room-darkening shades', 'Dedicated workspace', 'Microwave', 'Dining table', 'Dryer –\xa0In unit', 'Washer –\xa0In unit', 'Electric stove', 'BBQ grill', 'Radiant heating', 'Air conditioning', 'Laundromat nearby', 'Outdoor furniture', 'Single oven', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Whirlpool  refrigerator', 'Coffee maker: drip coffee maker', 'Free street parking', 'Private backyard – Fully fenced', 'Cleaning products']",34,1,1,1,0,1,1,1,0,1,0,0,1,Entire place
THIRTEENTH WARD,42.66891,-73.79096,42,Entire home/apt,Entire home,5,3.0,1.0,7,0.73,7,4.14,4.14,4.43,363,f,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Pool table"", ""Room-darkening shades"", ""Washer"", ""Pets allowed"", ""Radiant heating"", ""Noise decibel monitors on property"", ""Air conditioning"", ""Exterior security cameras on property"", ""Patio or balcony"", ""First aid kit"", ""Self check-in"", ""Hangers"", ""Fire extinguisher"", ""Keypad""]",1363867065584533091,"['Smoke alarm', 'Kitchen', 'Wifi', 'Dryer', 'Carbon monoxide alarm', 'Bed linens', 'Pool table', 'Room-darkening shades', 'Washer', 'Pets allowed', 'Radiant heating', 'Noise decibel monitors on property', 'Air conditioning', 'Exterior security cameras on property', 'Patio or balcony', 'First aid kit', 'Self check-in', 'Hangers', 'Fire extinguisher', 'Keypad']",20,1,1,0,1,0,1,1,0,0,0,1,1,Entire place
SECOND WARD,42.6436654,-73.7536006,252,Entire home/apt,Entire condo,4,2.0,1.0,42,3.6,42,4.69,4.83,4.57,354,f,"[""Smoke alarm"", ""Kitchen"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Dining table"", ""Heating"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""40 inch HDTV with Netflix, Hulu, Amazon Prime Video"", ""Free parking on premises"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Keypad"", ""Fast wifi \u2013 301 Mbps"", ""Stove""]",1365428503448527322,"['Smoke alarm', 'Kitchen', 'Hot water', 'Hair dryer', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Iron', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Clothing storage', 'Dining table', 'Heating', 'Extra pillows and blankets', 'Exterior security cameras on property', 'Toaster', 'Essentials', '40 inch HDTV with Netflix, Hulu, Amazon Prime Video', 'Free parking on premises', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Keypad', 'Fast wifi – 301 Mbps', 'Stove']",32,1,1,1,1,1,1,0,0,0,0,0,1,Entire place
EIGHTH WARD,42.64533014600323,-73.789131045637,246,Entire home/apt,Entire home,8,4.0,2.5,41,3.67,41,4.88,4.83,4.83,218,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Baking sheet"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Dining table"", ""Heating"", ""Smart lock"", ""Extra pillows and blankets"", ""Oven"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Coffee"", ""Free driveway parking on premises"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Stove""]",1366933239765507591,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Ceiling fan', 'Shampoo', 'Iron', 'Baking sheet', 'TV with standard cable', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Dining table', 'Heating', 'Smart lock', 'Extra pillows and blankets', 'Oven', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Essentials', 'Coffee', 'Free driveway parking on premises', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Fire extinguisher', 'Private backyard – Fully fenced', 'Board games', 'Stove']",42,1,1,1,1,1,1,1,0,0,0,0,1,Entire place
FOURTH WARD,42.66159372265361,-73.75439956511829,255,Entire home/apt,Entire rental unit,4,2.0,1.0,51,4.55,51,4.63,4.63,4.1,293,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Trash compactor"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Safe"", ""Wine glasses"", ""Microwave"", ""Clothing storage"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Toaster"", ""Backyard"", ""Essentials"", ""Coffee"", ""Outdoor furniture"", ""Conditioner"", ""Free parking on premises"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free washer \u2013 In building"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stove""]",1369127908322228929,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Trash compactor', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'Body soap', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Safe', 'Wine glasses', 'Microwave', 'Clothing storage', 'Heating', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Drying rack for clothing', 'Exterior security cameras on property', 'Toaster', 'Backyard', 'Essentials', 'Coffee', 'Outdoor furniture', 'Conditioner', 'Free parking on premises', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Free washer – In building', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Keypad', 'Stove']",48,1,1,1,1,0,1,1,0,0,0,0,1,Entire place
